str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-03-2011,3.0,0.0,8.0,2,2,10,10
01-04-2010,5.0,1.0,4.0,5,6,13,13
01-04-2011,3.0,0.0,8.0,5,6,13,13
01-05-2010,2.0,0.0,9.0,5,6,12,12
01-05-2011,3.0,0.0,6.0,6,6,14,14
01-06-2010,2.0,0.0,9.0,6,6,13,12
01-06-2011,1.0,0.0,10.0,2,3,9,9
01-07-2010,7.0,0.0,4.0,5,6,11,11
01-07-2011,6.0,0.0,3.0,6,6,12,12
01-08-2010,2.0,3.0,6.0,3,4,10,10
01-09-2010,4.0,1.0,6.0,2,2,10,10
01-10-2011,1.0,2.0,8.0,5,6,12,12
01-11-2010,5.0,1.0,5.0,2,3,10,10
01-11-2011,3.0,0.0,8.0,4,4,12,12
01-12-2010,4.0,1.0,5.0,5,6,13,13
01-12-2011,5.0,1.0,5.0,2,3,9,9
01-13-2010,4.0,1.0,6.0,6,6,14,14
01-13-2011,5.0,0.0,6.0,5,6,13,13
01-14-2010,1.0,0.0,9.0,6,7,14,14
01-14-2011,3.0,1.0,7.0,4,5,12,12
01-15-2010,3.0,0.0,8.0,2,2,10,10
01-17-2010,3.0,0.0,7.0,5,6,13,13
01-17-2011,7.0,0.0,4.0,6,6,14,14
01-18-2010,4.0,0.0,7.0,5,6,13,13
01-18-2011,5.0,1.0,5.0,3,4,11,11
01-19-2010,5.0,0.0,5.0,2,3,9,9
01-19-2011,5.0,0.0,6.0,2,3,10,10
01-20-2010,3.0,1.0,6.0,3,3,11,11
01-20-2011,1.0,1.0,9.0,4,5,12,12
01-21-2010,5.0,1.0,5.0,6,6,13,13
01-21-2011,8.0,0.0,3.0,3,4,10,10
01-22-2010,3.0,0.0,6.0,2,3,10,10
01-24-2011,6.0,1.0,4.0,3,4,10,10
01-25-2010,6.0,1.0,4.0,3,3,10,10
01-25-2011,5.0,0.0,6.0,4,4,9,9
01-26-2010,3.0,0.0,7.0,6,6,12,12
01-26-2011,6.0,0.0,5.0,3,4,11,11
01-27-2010,3.0,0.0,8.0,6,7,13,13
01-27-2011,5.0,1.0,5.0,4,5,11,10
01-28-2010,5.0,1.0,5.0,3,4,11,11
01-28-2011,5.0,0.0,6.0,4,5,10,10
01-29-2010,2.0,1.0,8.0,6,7,14,14
