str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-03-2011,0.0,0.0,1.0,1,2,9,9
01-04-2010,0.0,0.0,1.0,1,2,9,9
01-04-2011,1.0,0.0,0.0,1,2,8,8
01-05-2010,0.0,0.0,1.0,1,2,9,9
01-05-2011,0.0,0.0,1.0,1,2,9,9
01-06-2010,0.0,1.0,0.0,1,1,9,9
01-06-2011,0.0,0.0,1.0,1,2,9,9
01-07-2010,0.0,0.0,1.0,1,2,8,8
01-07-2011,1.0,0.0,0.0,1,2,9,9
01-08-2010,1.0,0.0,0.0,1,2,9,9
01-10-2011,1.0,0.0,0.0,1,2,9,9
01-11-2010,1.0,0.0,0.0,1,1,9,9
01-11-2011,0.0,0.0,1.0,1,2,8,8
01-12-2010,0.0,0.0,1.0,1,2,9,9
01-12-2011,0.0,0.0,1.0,1,2,8,8
01-13-2010,1.0,0.0,0.0,1,2,9,9
01-13-2011,1.0,0.0,0.0,1,2,9,9
01-14-2010,0.0,0.0,1.0,1,1,9,9
01-14-2011,0.0,0.0,1.0,1,2,7,7
01-15-2010,1.0,0.0,0.0,1,2,9,9
01-17-2011,1.0,0.0,0.0,1,1,10,9
01-18-2010,0.0,0.0,1.0,1,1,9,9
01-18-2011,0.0,0.0,1.0,1,2,8,8
01-19-2010,0.0,0.0,1.0,1,2,9,9
01-19-2011,0.0,0.0,1.0,1,2,9,9
01-20-2010,1.0,0.0,0.0,1,2,9,9
01-20-2011,0.0,0.0,1.0,1,2,9,9
01-21-2010,1.0,0.0,0.0,1,2,8,8
01-21-2011,1.0,0.0,0.0,1,2,9,9
01-22-2010,0.0,0.0,1.0,1,2,8,8
01-24-2011,0.0,0.0,1.0,1,1,9,9
01-25-2010,0.0,0.0,1.0,1,2,9,9
01-25-2011,1.0,0.0,0.0,1,2,9,9
01-26-2010,0.0,0.0,1.0,1,2,9,9
01-26-2011,0.0,0.0,1.0,1,2,8,8
01-27-2010,0.0,0.0,1.0,1,2,9,9
01-27-2011,0.0,0.0,1.0,1,2,8,8
01-28-2010,1.0,0.0,0.0,2,2,9,9
01-28-2011,1.0,0.0,0.0,1,2,9,9
01-29-2010,1.0,0.0,0.0,1,2,8,8
01-31-2011,0.0,0.0,1.0,2,3,8,8
02-01-2010,1.0,0.0,0.0,1,2,9,9
02-01-2011,0.0,0.0,1.0,1,2,9,9
02-02-2010,0.0,0.0,1.0,1,2,9,9
02-02-2011,0.0,0.0,1.0,1,2,9,9
02-03-2010,1.0,0.0,0.0,1,2,9,9
02-03-2011,1.0,0.0,0.0,1,1,9,9
02-04-2010,1.0,0.0,0.0,1,2,9,9
02-04-2011,0.0,0.0,1.0,1,2,8,8
02-05-2010,0.0,0.0,1.0,1,1,9,9
02-07-2011,0.0,0.0,1.0,1,1,9,9
02-08-2010,0.0,0.0,1.0,1,1,9,9
02-08-2011,0.0,0.0,1.0,1,1,8,8
02-09-2010,0.0,0.0,1.0,1,2,9,9
02-09-2011,0.0,0.0,1.0,1,2,9,9
02-10-2010,1.0,0.0,0.0,1,2,9,9
02-10-2011,1.0,0.0,0.0,1,2,9,9
02-11-2010,0.0,1.0,0.0,1,2,7,7
02-11-2011,0.0,0.0,1.0,1,2,9,9
02-12-2010,1.0,0.0,0.0,1,2,8,8
02-14-2011,0.0,1.0,0.0,1,2,9,9
02-15-2010,0.0,1.0,0.0,1,1,8,8
02-15-2011,0.0,0.0,1.0,1,1,9,9
02-16-2010,0.0,0.0,1.0,1,2,9,9
02-16-2011,0.0,0.0,1.0,1,2,8,8
02-17-2010,0.0,0.0,1.0,1,2,8,8
02-17-2011,0.0,0.0,1.0,1,2,9,9
