str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-02-2010,1.0,1.0,1.0,1,1,0,0
01-03-2010,1.0,0.0,2.0,1,1,0,0
01-04-2010,1.0,0.0,2.0,1,1,0,0
01-05-2010,0.0,0.0,3.0,2,2,0,0
01-06-2010,1.0,0.0,2.0,1,1,0,0
01-07-2010,2.0,0.0,1.0,3,3,0,0
01-08-2010,0.0,0.0,3.0,2,2,0,0
01-09-2010,2.0,1.0,0.0,1,1,0,0
01-10-2010,2.0,0.0,1.0,2,3,0,0
01-11-2010,1.0,0.0,2.0,2,1,0,0
01-12-2010,0.0,1.0,1.0,3,4,0,0
01-13-2010,1.0,0.0,2.0,2,1,0,0
01-14-2010,0.0,0.0,3.0,1,1,0,0
01-15-2010,0.0,0.0,3.0,1,1,0,0
01-16-2010,0.0,1.0,2.0,2,2,0,0
01-17-2010,3.0,0.0,0.0,1,1,0,0
01-18-2010,2.0,1.0,0.0,1,1,0,0
01-19-2010,1.0,0.0,2.0,2,2,0,0
01-20-2010,0.0,0.0,3.0,2,2,0,0
01-21-2010,1.0,0.0,2.0,1,1,0,0
01-22-2010,2.0,0.0,1.0,1,1,0,0
01-23-2010,0.0,0.0,3.0,1,1,0,0
01-24-2010,2.0,0.0,1.0,1,1,0,0
01-25-2010,1.0,0.0,2.0,1,1,0,0
01-26-2010,0.0,0.0,3.0,3,4,0,0
01-27-2010,1.0,0.0,2.0,2,1,0,0
01-28-2010,1.0,0.0,2.0,2,2,0,0
01-29-2010,0.0,0.0,3.0,1,1,0,0
01-30-2010,2.0,0.0,1.0,2,2,0,0
01-31-2010,2.0,0.0,0.0,2,2,0,0
02-01-2010,0.0,0.0,3.0,2,2,0,0
02-02-2010,1.0,0.0,2.0,1,1,0,0
02-03-2010,2.0,0.0,1.0,2,2,0,0
02-04-2010,0.0,0.0,3.0,1,1,0,0
02-05-2010,1.0,0.0,2.0,1,1,0,0
02-06-2010,0.0,0.0,3.0,1,1,0,0
02-07-2010,2.0,0.0,1.0,1,1,0,0
02-08-2010,0.0,0.0,0.0,1,1,0,0
