str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-02-2011,8.0,0.0,10.0,2,3,9,9
01-03-2010,5.0,0.0,13.0,1,1,9,9
01-03-2011,10.0,1.0,6.0,1,1,9,9
01-04-2010,9.0,1.0,8.0,1,2,8,8
01-04-2011,8.0,0.0,10.0,1,2,8,8
01-05-2010,7.0,2.0,9.0,2,2,9,8
01-05-2011,9.0,0.0,9.0,1,2,8,8
01-06-2010,9.0,0.0,9.0,1,2,9,9
01-06-2011,7.0,0.0,11.0,1,1,8,8
01-07-2010,5.0,2.0,11.0,1,2,9,9
01-07-2011,6.0,1.0,11.0,2,2,9,9
01-08-2010,8.0,1.0,9.0,1,1,9,9
01-08-2011,1.0,1.0,3.0,2,3,10,10
01-09-2010,9.0,1.0,8.0,1,2,9,9
01-09-2011,9.0,0.0,9.0,1,2,7,7
01-10-2010,8.0,1.0,9.0,1,2,7,7
01-10-2011,10.0,2.0,6.0,1,2,9,9
01-11-2010,12.0,0.0,5.0,1,2,9,9
01-11-2011,4.0,1.0,13.0,1,2,9,9
01-12-2010,5.0,0.0,12.0,1,2,9,9
01-12-2011,10.0,0.0,8.0,1,2,9,9
01-13-2010,5.0,0.0,7.0,1,1,8,8
01-13-2011,9.0,1.0,8.0,1,2,9,9
01-14-2010,13.0,0.0,5.0,1,2,9,9
01-14-2011,7.0,1.0,10.0,1,2,9,9
01-15-2010,10.0,0.0,6.0,1,2,8,8
01-16-2010,8.0,0.0,10.0,1,2,9,9
01-16-2011,5.0,1.0,12.0,1,2,6,6
01-17-2011,8.0,0.0,9.0,1,2,9,9
01-18-2010,6.0,2.0,10.0,1,1,9,9
01-18-2011,9.0,0.0,8.0,1,2,9,9
01-19-2010,9.0,1.0,8.0,2,2,7,7
01-19-2011,11.0,1.0,6.0,1,2,9,9
01-20-2010,9.0,0.0,9.0,1,2,9,9
01-20-2011,7.0,0.0,11.0,1,2,9,9
01-21-2010,5.0,2.0,11.0,1,2,9,9
01-21-2011,6.0,3.0,9.0,1,2,8,8
01-22-2010,7.0,0.0,11.0,1,1,8,8
01-24-2010,7.0,1.0,9.0,1,2,9,9
01-24-2011,9.0,0.0,9.0,2,2,9,9
01-25-2010,8.0,1.0,9.0,2,3,9,9
01-25-2011,3.0,1.0,13.0,1,2,7,7
01-26-2010,6.0,0.0,11.0,1,2,9,9
01-26-2011,8.0,2.0,8.0,1,2,7,7
01-27-2010,10.0,0.0,8.0,1,2,7,7
01-27-2011,7.0,0.0,11.0,1,2,9,9
01-28-2010,9.0,2.0,7.0,1,2,8,8
01-28-2011,9.0,1.0,8.0,1,2,9,9
01-29-2010,12.0,1.0,5.0,2,3,8,8
01-29-2011,10.0,1.0,7.0,1,2,9,9
01-31-2010,9.0,1.0,8.0,1,1,8,8
01-31-2011,7.0,1.0,10.0,1,1,9,9
02-01-2010,2.0,0.0,1.0,1,2,9,9
02-01-2011,11.0,1.0,6.0,2,3,10,10
02-02-2010,9.0,0.0,8.0,1,2,9,9
02-02-2011,0.0,0.0,2.0,1,2,9,9
02-03-2010,9.0,1.0,8.0,1,2,9,9
02-03-2011,8.0,2.0,8.0,1,2,9,9
02-04-2010,10.0,0.0,8.0,1,2,8,8
02-04-2011,6.0,0.0,12.0,1,2,9,9
02-05-2010,9.0,0.0,9.0,1,1,8,8
02-05-2011,9.0,0.0,9.0,1,2,9,9
02-06-2011,9.0,0.0,9.0,2,3,10,9
02-07-2011,6.0,1.0,11.0,1,1,9,9
02-08-2010,8.0,1.0,9.0,1,2,9,9
02-08-2011,12.0,0.0,6.0,1,2,8,8
02-09-2010,7.0,0.0,10.0,2,3,9,9
02-09-2011,7.0,1.0,10.0,1,2,9,9
02-10-2010,5.0,1.0,9.0,1,2,9,9
02-10-2011,6.0,1.0,11.0,1,1,9,9
02-11-2010,11.0,0.0,7.0,1,2,9,9
02-11-2011,6.0,0.0,12.0,2,3,9,9
02-12-2010,5.0,1.0,11.0,1,2,9,9
02-12-2011,5.0,1.0,11.0,1,2,9,9
02-13-2011,10.0,1.0,7.0,2,3,9,9
02-14-2010,9.0,2.0,7.0,1,1,9,9
02-14-2011,10.0,1.0,7.0,2,2,9,8
02-15-2010,8.0,2.0,6.0,1,2,9,9
02-15-2011,4.0,1.0,11.0,1,2,9,9
02-16-2010,11.0,0.0,7.0,1,2,9,9
02-16-2011,6.0,0.0,11.0,1,1,8,8
02-17-2010,6.0,3.0,9.0,1,2,9,9
02-17-2011,9.0,2.0,7.0,1,2,9,9
02-18-2010,6.0,0.0,12.0,1,2,9,9
02-18-2011,8.0,0.0,9.0,1,2,9,9
02-19-2010,8.0,0.0,9.0,1,2,7,7
02-19-2011,7.0,1.0,10.0,1,2,9,9
02-20-2011,7.0,0.0,10.0,1,2,8,8
02-21-2011,8.0,0.0,10.0,1,2,9,9
02-22-2010,4.0,2.0,12.0,1,2,9,9
02-22-2011,10.0,2.0,6.0,1,2,9,9
02-23-2010,7.0,1.0,10.0,1,1,9,9
02-23-2011,7.0,1.0,10.0,1,2,9,9
02-24-2010,5.0,2.0,10.0,1,2,8,8
02-24-2011,5.0,0.0,12.0,1,2,9,9
02-25-2010,9.0,0.0,9.0,1,2,9,9
02-25-2011,12.0,0.0,6.0,1,2,9,9
02-26-2010,9.0,0.0,9.0,1,2,9,9
02-27-2010,9.0,0.0,9.0,2,3,8,8
02-27-2011,6.0,1.0,11.0,1,2,9,9
02-28-2011,7.0,0.0,11.0,1,2,9,9
03-01-2010,6.0,2.0,10.0,1,2,9,9
03-01-2011,13.0,0.0,5.0,1,2,8,8
03-02-2010,7.0,1.0,10.0,2,3,9,9
03-02-2011,11.0,0.0,7.0,1,1,8,8
03-03-2010,10.0,0.0,8.0,1,2,9,9
03-03-2011,9.0,1.0,8.0,1,2,8,8
03-04-2010,11.0,1.0,6.0,1,2,9,9
03-04-2011,8.0,0.0,10.0,1,2,9,9
03-05-2010,8.0,1.0,8.0,1,2,9,9
03-06-2010,8.0,2.0,8.0,2,3,9,9
03-07-2010,3.0,1.0,14.0,1,2,8,8
03-07-2011,9.0,0.0,8.0,1,2,9,9
03-08-2010,8.0,1.0,8.0,1,2,8,8
03-08-2011,9.0,1.0,8.0,1,2,9,9
03-09-2010,8.0,0.0,10.0,1,2,9,8
03-09-2011,6.0,0.0,12.0,1,2,9,9
03-10-2010,8.0,0.0,10.0,2,2,8,8
03-10-2011,9.0,1.0,8.0,1,2,8,7
03-11-2010,7.0,1.0,10.0,1,2,9,9
03-11-2011,12.0,2.0,4.0,1,2,8,8
03-12-2010,4.0,1.0,13.0,1,2,9,9
03-12-2011,8.0,0.0,10.0,1,2,9,9
03-13-2011,6.0,0.0,6.0,1,2,9,9
03-14-2010,4.0,0.0,14.0,1,1,9,9
03-14-2011,6.0,0.0,12.0,1,2,9,9
