str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
1/4/2010,1,0,0,1,1,1,1
1/5/2010,0,0,1,1,1,1,1
1/6/2010,0,0,1,1,1,1,1
1/7/2010,1,0,0,1,1,2,2
1/8/2010,1,0,0,1,1,1,1
1/11/2010,1,0,0,1,1,0,0
1/12/2010,0,0,1,1,1,1,1
1/13/2010,1,0,0,1,1,2,2
1/14/2010,0,1,0,1,1,2,2
1/15/2010,0,0,1,1,1,3,3
1/18/2010,0,0,1,1,1,1,1
1/19/2010,0,0,1,1,1,2,2
1/20/2010,0,0,1,1,1,3,3
1/21/2010,1,0,0,1,1,4,4
1/22/2010,0,0,1,1,1,2,2
1/25/2010,1,0,0,1,1,3,3
1/26/2010,1,0,0,1,1,2,2
1/27/2010,0,0,1,1,1,2,2
1/28/2010,0,0,1,1,1,1,1
1/29/2010,0,0,1,1,1,1,1
2/1/2010,0,0,1,1,1,2,2
2/2/2010,0,0,1,1,1,3,3
2/3/2010,1,0,0,1,1,1,1
2/4/2010,1,0,0,1,1,3,3
2/5/2010,0,1,0,1,1,2,2
2/8/2010,0,0,1,1,1,1,1
2/9/2010,1,0,0,1,1,1,1
2/10/2010,1,0,0,1,1,1,1
2/11/2010,0,0,1,1,1,2,2
2/12/2010,0,0,1,1,1,3,3
2/15/2010,0,0,1,1,1,2,2
2/16/2010,1,0,0,1,1,4,4
2/17/2010,1,0,0,1,1,3,3
2/18/2010,0,1,0,1,1,3,3
2/19/2010,0,0,1,1,1,2,2
2/22/2010,0,0,1,1,1,2,2
2/23/2010,0,0,1,1,1,0,0
2/24/2010,0,0,1,1,1,3,3
2/25/2010,0,0,1,1,1,1,1
2/26/2010,0,0,1,1,1,2,2
3/1/2010,0,0,1,1,1,2,2
3/2/2010,1,0,0,1,1,2,2
3/3/2010,1,0,0,1,1,2,1
3/4/2010,0,0,1,1,1,2,2
3/8/2010,1,0,0,1,1,3,3
3/9/2010,0,0,1,1,1,3,3
3/10/2010,0,0,1,1,1,1,1
3/11/2010,0,0,1,1,1,2,2
3/12/2010,0,0,1,1,1,1,1
3/15/2010,1,0,0,1,1,3,3
3/16/2010,1,0,0,1,1,1,1
3/17/2010,0,0,1,1,1,2,2
3/18/2010,0,0,1,1,1,3,3
3/19/2010,1,0,0,1,1,2,2
3/22/2010,1,0,0,1,1,3,3
3/23/2010,1,0,0,1,1,3,3
3/24/2010,0,1,0,1,1,2,2
3/25/2010,0,0,1,1,1,1,1
3/26/2010,0,0,1,1,1,2,2
3/29/2010,0,0,1,1,1,2,2
3/30/2010,1,0,0,1,1,2,2
3/31/2010,0,0,1,1,1,1,1
4/1/2010,0,0,1,1,1,2,2
4/7/2010,0,0,1,1,1,4,4
4/8/2010,0,0,1,1,1,2,2
4/9/2010,1,0,0,1,1,1,1
4/12/2010,0,0,1,1,1,3,3
4/13/2010,1,0,0,1,1,1,1
4/14/2010,0,0,1,1,1,3,3
4/15/2010,0,0,1,1,1,0,0
4/16/2010,0,0,1,1,1,1,1
4/19/2010,1,0,0,1,1,4,4
4/21/2010,0,0,1,1,1,3,2
4/22/2010,0,0,1,1,1,2,2
4/23/2010,0,0,1,1,1,1,1
4/26/2010,0,0,1,1,1,3,3
4/27/2010,1,0,0,1,1,2,2
4/28/2010,0,0,1,1,1,1,1
4/29/2010,1,0,0,1,1,2,2
4/30/2010,0,0,1,1,1,2,1
5/3/2010,0,0,1,1,1,3,3
5/4/2010,0,0,1,1,1,2,2
5/5/2010,0,0,1,1,1,3,3
5/7/2010,0,0,1,1,1,3,3
5/10/2010,1,0,0,1,1,3,3
5/11/2010,0,0,1,1,1,2,2
5/12/2010,1,0,0,1,1,3,2
5/13/2010,1,0,0,1,1,1,1
5/14/2010,1,0,0,1,1,0,0
5/17/2010,1,0,0,1,1,1,1
5/18/2010,0,0,1,1,1,2,2
5/19/2010,0,0,1,1,1,2,2
5/20/2010,0,0,1,1,1,1,1
5/21/2010,0,0,1,1,1,0,0
5/24/2010,0,0,1,1,1,2,2
5/25/2010,1,0,0,1,1,1,1
5/26/2010,1,0,0,1,1,3,3
5/27/2010,0,0,1,1,1,2,2
5/28/2010,0,0,1,1,1,2,2
6/1/2010,1,0,0,1,1,2,2
6/2/2010,0,0,1,1,1,3,3
6/3/2010,0,0,1,1,1,1,1
6/4/2010,1,0,0,1,1,3,2
6/7/2010,0,0,1,1,1,4,4
6/8/2010,0,1,0,1,1,1,1
6/9/2010,0,0,1,1,1,2,2
6/10/2010,0,0,1,1,1,1,1
6/11/2010,0,0,1,1,1,2,2
6/14/2010,0,0,1,1,1,3,3
6/15/2010,0,0,1,1,1,2,2
6/16/2010,1,0,0,1,1,2,2
6/17/2010,1,0,0,1,1,1,1
6/18/2010,0,0,1,1,1,3,3
6/21/2010,0,0,1,1,1,2,2
6/22/2010,0,0,1,1,1,3,3
6/23/2010,0,0,1,1,1,3,3
6/24/2010,0,0,1,1,1,3,3
6/25/2010,0,0,1,1,1,2,2
6/28/2010,1,0,0,1,1,1,1
6/29/2010,0,0,1,1,1,2,2
6/30/2010,0,0,1,1,1,3,3
7/1/2010,0,0,1,1,1,1,1
7/2/2010,0,0,1,1,1,1,1
7/6/2010,0,0,1,1,1,1,1
7/7/2010,0,0,1,1,1,2,2
7/8/2010,0,0,1,1,1,2,2
7/9/2010,0,0,1,1,1,2,2
7/12/2010,0,1,0,1,1,3,3
7/13/2010,0,0,1,1,1,1,1
7/14/2010,1,0,0,1,1,2,2
7/15/2010,0,0,1,1,1,4,3
7/16/2010,0,0,1,1,1,4,4
7/19/2010,0,0,1,1,1,1,1
7/20/2010,0,0,1,1,1,4,4
7/21/2010,0,0,1,1,1,2,2
7/22/2010,0,0,1,1,1,1,1
7/23/2010,0,0,1,1,1,2,2
7/26/2010,0,0,1,1,1,2,2
7/27/2010,0,0,1,1,1,3,3
7/28/2010,0,0,1,1,1,2,2
7/29/2010,0,0,1,1,1,3,3
7/30/2010,0,1,0,1,1,2,2
8/2/2010,1,0,0,1,1,4,4
8/3/2010,0,0,1,1,1,3,3
8/4/2010,0,0,1,1,1,3,3
8/5/2010,0,1,0,1,1,2,2
8/6/2010,1,0,0,1,1,0,0
8/9/2010,0,0,1,1,1,2,2
8/10/2010,1,0,0,1,1,2,2
8/11/2010,0,0,4,1,1,3,3
8/12/2010,1,0,1,1,1,3,3
8/13/2010,1,0,0,1,1,1,1
8/16/2010,0,0,3,1,1,1,1
8/17/2010,0,0,1,1,1,2,2
8/18/2010,1,0,0,1,1,1,1
8/20/2010,0,0,3,1,1,3,3
8/23/2010,0,0,3,1,1,2,2
8/24/2010,0,0,3,1,1,4,4
8/25/2010,0,0,1,1,1,2,2
8/26/2010,0,0,1,1,1,2,2
8/27/2010,0,0,1,1,1,3,3
8/30/2010,1,0,0,1,1,2,2
8/31/2010,1,0,0,1,1,6,6
9/1/2010,0,0,1,1,1,1,1
9/2/2010,0,0,1,1,1,8,8
9/3/2010,0,0,1,1,1,1,1
9/7/2010,0,0,1,1,1,3,3
9/8/2010,1,0,0,1,1,5,5
9/10/2010,0,0,1,1,1,1,1
9/13/2010,0,0,1,1,1,3,3
9/14/2010,2,0,0,1,1,6,6
9/15/2010,0,0,1,1,1,6,6
9/16/2010,0,0,1,1,1,2,2
9/17/2010,1,0,0,1,1,7,7
9/20/2010,1,0,0,1,1,2,2
9/21/2010,1,0,0,1,1,1,1
9/22/2010,0,0,1,1,1,3,2
9/23/2010,0,0,1,1,1,2,2
9/24/2010,1,0,0,1,1,5,5
