str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-03-2011,5.0,0.0,5.0,4,4,5,5
01-04-2010,5.0,0.0,5.0,6,6,6,6
01-04-2011,5.0,0.0,5.0,3,4,3,3
01-05-2010,7.0,0.0,2.0,2,3,3,3
01-05-2011,6.0,0.0,4.0,4,5,3,3
01-06-2010,3.0,2.0,5.0,3,4,2,2
01-06-2011,1.0,0.0,2.0,2,3,2,2
01-07-2010,3.0,1.0,6.0,6,7,5,5
01-07-2011,3.0,0.0,7.0,6,7,6,6
01-08-2010,5.0,0.0,5.0,5,6,5,5
01-10-2011,7.0,0.0,3.0,4,5,5,5
01-11-2010,5.0,1.0,3.0,4,4,4,4
01-11-2011,3.0,0.0,6.0,2,3,2,2
01-12-2010,3.0,2.0,5.0,5,6,4,4
01-12-2011,1.0,0.0,9.0,4,5,4,4
01-13-2010,5.0,0.0,5.0,4,5,4,4
01-13-2011,5.0,1.0,4.0,4,5,5,5
01-14-2010,6.0,0.0,3.0,6,6,5,5
01-14-2011,1.0,1.0,8.0,6,7,7,7
01-15-2010,5.0,0.0,5.0,3,4,3,3
01-17-2011,5.0,0.0,5.0,3,4,4,4
01-18-2010,3.0,1.0,6.0,2,2,4,4
01-18-2011,6.0,0.0,4.0,4,5,3,3
01-19-2010,7.0,0.0,3.0,6,7,6,6
01-19-2011,4.0,0.0,6.0,5,6,4,4
01-20-2010,4.0,0.0,6.0,6,7,6,6
01-20-2011,3.0,2.0,5.0,4,5,2,2
01-21-2010,4.0,0.0,6.0,6,7,8,8
01-21-2011,3.0,0.0,7.0,2,3,1,1
01-22-2010,5.0,0.0,4.0,5,5,7,7
01-24-2011,2.0,0.0,8.0,4,4,3,3
01-25-2010,6.0,0.0,4.0,6,6,7,7
01-25-2011,7.0,1.0,2.0,5,5,4,4
01-26-2010,3.0,1.0,6.0,3,4,2,2
01-26-2011,5.0,0.0,5.0,2,3,2,2
01-27-2010,5.0,0.0,5.0,5,6,5,5
01-27-2011,2.0,1.0,7.0,5,6,6,6
01-28-2010,6.0,0.0,4.0,6,7,5,5
01-28-2011,2.0,2.0,6.0,3,4,2,2
01-29-2010,6.0,0.0,4.0,3,4,3,3
01-31-2011,3.0,0.0,7.0,2,2,2,2
02-01-2010,6.0,0.0,4.0,5,6,3,3
02-01-2011,6.0,1.0,3.0,4,5,3,3
02-02-2010,1.0,0.0,8.0,5,6,5,5
02-02-2011,2.0,1.0,7.0,4,5,6,6
02-03-2010,0.0,0.0,4.0,2,3,3,3
02-03-2011,4.0,1.0,5.0,5,6,4,4
02-04-2010,1.0,1.0,8.0,3,4,3,3
02-04-2011,3.0,1.0,6.0,6,7,6,6
02-05-2010,2.0,1.0,7.0,3,4,3,3
02-07-2011,2.0,0.0,5.0,5,6,7,7
02-08-2010,4.0,0.0,6.0,5,6,6,6
02-08-2011,4.0,1.0,5.0,3,4,3,3
02-09-2010,5.0,1.0,4.0,2,3,1,1
02-09-2011,2.0,0.0,8.0,6,7,6,6
02-10-2010,3.0,1.0,6.0,5,6,5,5
02-10-2011,5.0,0.0,5.0,5,6,6,6
02-11-2010,2.0,0.0,8.0,4,5,3,3
02-11-2011,6.0,0.0,3.0,4,5,3,3
02-12-2010,4.0,1.0,5.0,2,3,4,4
02-14-2011,5.0,0.0,5.0,2,3,2,2
02-15-2010,5.0,0.0,5.0,4,4,4,3
02-15-2011,4.0,2.0,4.0,5,5,3,3
02-16-2010,2.0,1.0,7.0,2,3,2,2
02-16-2011,2.0,2.0,6.0,4,5,4,4
02-17-2010,4.0,0.0,6.0,2,2,3,3
02-17-2011,4.0,0.0,6.0,2,2,2,2
02-18-2010,4.0,1.0,5.0,4,5,3,3
02-18-2011,1.0,0.0,9.0,4,5,4,4
02-19-2010,2.0,0.0,8.0,5,5,4,4
02-21-2011,1.0,0.0,9.0,3,4,2,2
02-22-2010,1.0,1.0,8.0,2,3,1,1
02-22-2011,3.0,0.0,7.0,3,4,4,4
02-23-2010,6.0,0.0,4.0,6,6,6,6
02-23-2011,5.0,0.0,5.0,5,6,5,5
02-24-2010,5.0,2.0,3.0,3,4,2,2
02-24-2011,4.0,1.0,5.0,5,6,8,8
02-25-2010,2.0,1.0,1.0,2,3,3,3
02-25-2011,4.0,0.0,6.0,2,2,1,1
02-26-2010,5.0,1.0,4.0,3,4,3,3
02-28-2011,4.0,2.0,4.0,2,3,2,2
03-01-2010,3.0,1.0,6.0,2,2,1,1
03-01-2011,3.0,0.0,7.0,4,5,2,2
03-02-2010,4.0,0.0,6.0,6,7,7,7
03-02-2011,2.0,1.0,7.0,5,6,4,4
03-03-2010,4.0,0.0,6.0,4,5,3,3
03-03-2011,5.0,0.0,5.0,5,6,4,4
03-04-2010,3.0,1.0,6.0,7,8,5,5
03-04-2011,1.0,0.0,9.0,2,3,1,1
03-05-2010,5.0,0.0,5.0,3,4,3,3
03-07-2011,5.0,1.0,4.0,5,5,5,5
03-08-2010,3.0,0.0,6.0,4,5,5,5
03-08-2011,5.0,0.0,5.0,4,5,3,3
03-09-2010,3.0,0.0,7.0,3,4,3,3
03-09-2011,7.0,1.0,2.0,5,6,5,5
03-10-2010,4.0,2.0,4.0,4,5,3,3
03-10-2011,3.0,0.0,6.0,4,5,3,3
03-11-2010,8.0,1.0,1.0,4,5,3,3
03-11-2011,4.0,0.0,4.0,4,5,4,4
03-12-2010,3.0,0.0,7.0,4,4,4,4
03-14-2011,7.0,0.0,3.0,6,7,8,8
03-15-2010,8.0,0.0,2.0,3,4,2,2
03-15-2011,3.0,0.0,7.0,6,7,5,5
03-16-2011,3.0,0.0,6.0,3,4,2,2
03-17-2010,4.0,0.0,5.0,3,4,2,2
03-17-2011,5.0,1.0,4.0,6,6,6,6
03-18-2010,3.0,0.0,6.0,5,6,4,4
03-18-2011,1.0,1.0,8.0,2,3,1,1
03-19-2010,3.0,2.0,5.0,6,7,7,7
03-21-2011,2.0,0.0,8.0,5,6,4,4
03-22-2010,5.0,0.0,5.0,6,7,6,6
03-22-2011,2.0,0.0,8.0,3,4,3,3
03-23-2010,5.0,0.0,5.0,6,7,4,4
03-23-2011,4.0,0.0,6.0,6,7,6,6
03-24-2010,4.0,1.0,5.0,6,7,5,5
03-24-2011,2.0,0.0,8.0,4,5,5,4
03-25-2010,4.0,0.0,6.0,2,3,1,1
03-25-2011,6.0,2.0,2.0,5,6,6,6
03-26-2010,4.0,0.0,3.0,5,6,3,3
03-28-2011,4.0,0.0,6.0,3,4,3,3
03-29-2010,4.0,0.0,6.0,6,7,5,5
03-29-2011,3.0,0.0,6.0,5,5,5,5
03-30-2010,3.0,0.0,1.0,6,7,5,5
03-30-2011,3.0,2.0,5.0,6,6,7,7
03-31-2010,5.0,0.0,5.0,6,7,6,6
