str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-04-2010,5.0,0.0,5.0,6,6,6,6
01-05-2010,5.0,0.0,6.0,5,5,5,5
01-06-2010,5.0,0.0,6.0,6,6,6,6
01-07-2010,5.0,2.0,4.0,5,5,5,5
01-08-2010,7.0,0.0,4.0,5,5,6,6
01-11-2010,5.0,0.0,6.0,2,2,1,1
01-12-2010,4.0,0.0,7.0,3,3,2,2
01-13-2010,5.0,2.0,4.0,4,4,5,5
01-14-2010,4.0,1.0,6.0,4,4,4,4
01-15-2010,3.0,0.0,8.0,2,2,1,1
01-18-2010,3.0,1.0,7.0,4,4,4,4
01-19-2010,5.0,0.0,6.0,3,3,3,3
01-20-2010,2.0,0.0,9.0,5,5,5,5
01-21-2010,5.0,1.0,4.0,6,6,6,6
01-22-2010,6.0,0.0,5.0,5,5,5,5
01-25-2010,4.0,1.0,3.0,5,5,4,4
01-26-2010,2.0,0.0,9.0,4,4,5,5
01-27-2010,6.0,2.0,3.0,2,2,2,2
01-28-2010,5.0,1.0,5.0,2,2,1,1
01-29-2010,3.0,1.0,7.0,2,2,2,2
02-01-2010,6.0,0.0,5.0,5,5,4,4
02-02-2010,5.0,0.0,6.0,3,3,3,3
02-03-2010,3.0,0.0,8.0,4,4,3,3
02-04-2010,2.0,0.0,4.0,4,4,3,3
02-05-2010,7.0,0.0,4.0,3,3,2,2
02-08-2010,2.0,1.0,1.0,2,2,2,2
02-09-2010,1.0,1.0,9.0,3,3,4,4
02-10-2010,7.0,1.0,3.0,4,4,5,5
02-11-2010,4.0,1.0,6.0,2,2,3,3
02-12-2010,6.0,1.0,4.0,5,5,6,6
02-15-2010,5.0,1.0,5.0,4,4,3,3
02-16-2010,7.0,0.0,4.0,5,5,6,6
02-17-2010,5.0,1.0,5.0,6,6,5,5
02-18-2010,3.0,3.0,5.0,2,2,3,3
02-19-2010,6.0,1.0,4.0,2,2,1,1
02-22-2010,8.0,0.0,3.0,6,6,7,7
02-23-2010,4.0,0.0,7.0,7,7,5,5
02-24-2010,4.0,0.0,7.0,6,6,7,7
02-25-2010,5.0,0.0,6.0,4,4,3,3
02-26-2010,5.0,0.0,5.0,4,4,4,4
03-01-2010,6.0,2.0,3.0,2,2,2,2
03-02-2010,4.0,1.0,6.0,5,5,7,7
03-03-2010,5.0,0.0,5.0,3,3,3,3
03-04-2010,5.0,0.0,5.0,6,6,4,4
03-05-2010,4.0,0.0,7.0,6,6,6,6
03-08-2010,6.0,1.0,4.0,2,2,2,2
03-09-2010,3.0,0.0,7.0,2,2,4,4
03-10-2010,4.0,1.0,6.0,2,2,4,4
03-11-2010,6.0,0.0,5.0,2,2,1,1
03-12-2010,4.0,1.0,6.0,3,3,3,3
03-15-2010,3.0,0.0,8.0,5,5,6,6
03-16-2010,4.0,0.0,7.0,2,2,3,3
