str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-04-2010,1.0,0.0,2.0,1,1,0,0
01-05-2010,1.0,0.0,2.0,1,2,0,0
01-06-2010,1.0,0.0,2.0,2,3,0,0
01-07-2010,0.0,0.0,3.0,2,3,0,0
01-08-2010,1.0,0.0,2.0,1,2,0,0
01-11-2010,0.0,0.0,3.0,3,3,0,0
01-12-2010,1.0,0.0,2.0,2,3,0,0
01-13-2010,0.0,0.0,3.0,1,2,0,0
01-14-2010,1.0,0.0,2.0,3,3,0,0
01-15-2010,0.0,0.0,3.0,1,2,0,0
01-18-2010,0.0,0.0,3.0,3,4,0,0
01-19-2010,0.0,0.0,3.0,2,3,0,0
01-20-2010,0.0,0.0,2.0,2,3,0,0
01-21-2010,0.0,0.0,3.0,1,2,0,0
01-22-2010,0.0,0.0,3.0,2,2,0,0
01-25-2010,0.0,0.0,3.0,2,3,0,0
01-26-2010,2.0,0.0,1.0,1,2,0,0
01-27-2010,0.0,0.0,3.0,2,2,0,0
01-28-2010,1.0,0.0,2.0,2,3,0,0
01-29-2010,1.0,1.0,1.0,1,2,0,0
02-01-2010,1.0,0.0,2.0,2,3,0,0
02-02-2010,1.0,0.0,2.0,1,2,0,0
02-03-2010,0.0,0.0,3.0,1,2,0,0
02-04-2010,1.0,0.0,2.0,1,2,0,0
02-05-2010,1.0,0.0,2.0,2,3,0,0
02-08-2010,1.0,0.0,2.0,2,2,0,0
02-09-2010,1.0,0.0,2.0,2,3,0,0
02-10-2010,0.0,0.0,3.0,1,2,0,0
02-11-2010,1.0,0.0,2.0,2,3,0,0
02-12-2010,1.0,0.0,2.0,1,2,0,0
02-15-2010,1.0,0.0,2.0,2,2,0,0
02-16-2010,2.0,0.0,1.0,1,2,0,0
02-17-2010,0.0,0.0,3.0,2,2,0,0
02-18-2010,1.0,0.0,2.0,1,2,0,0
02-19-2010,0.0,0.0,3.0,1,2,0,0
02-22-2010,1.0,1.0,1.0,1,2,0,0
02-23-2010,0.0,0.0,3.0,2,2,0,0
02-24-2010,0.0,0.0,3.0,1,2,0,0
02-25-2010,1.0,0.0,2.0,1,2,0,0
02-26-2010,1.0,0.0,2.0,2,3,0,0
03-01-2010,2.0,0.0,1.0,2,3,0,0
03-02-2010,1.0,1.0,1.0,1,2,0,0
03-03-2010,0.0,0.0,3.0,1,2,0,0
03-04-2010,0.0,0.0,3.0,2,2,0,0
03-05-2010,0.0,0.0,3.0,3,4,0,0
03-08-2010,2.0,0.0,1.0,1,2,0,0
03-09-2010,1.0,0.0,2.0,2,3,0,0
03-10-2010,0.0,0.0,3.0,2,2,0,0
03-11-2010,0.0,0.0,3.0,1,2,0,0
03-12-2010,0.0,0.0,3.0,2,3,0,0
03-15-2010,1.0,0.0,2.0,2,3,0,0
03-16-2010,0.0,0.0,3.0,1,2,0,0
03-17-2010,0.0,0.0,3.0,1,2,0,0
03-18-2010,1.0,0.0,2.0,2,3,0,0
03-19-2010,0.0,0.0,3.0,1,2,0,0
03-22-2010,0.0,0.0,3.0,1,2,0,0
03-23-2010,0.0,0.0,3.0,3,4,0,0
03-24-2010,2.0,0.0,1.0,2,2,0,0
03-25-2010,0.0,0.0,3.0,2,3,0,0
03-26-2010,2.0,0.0,1.0,1,2,0,0
03-29-2010,0.0,0.0,3.0,2,3,0,0
03-30-2010,0.0,1.0,2.0,2,3,0,0
03-31-2010,0.0,0.0,3.0,1,2,0,0
04-01-2010,0.0,1.0,2.0,1,2,0,0
04-05-2010,1.0,0.0,2.0,2,2,0,0
04-06-2010,1.0,0.0,2.0,2,2,0,0
04-07-2010,0.0,1.0,2.0,1,2,0,0
04-08-2010,1.0,0.0,2.0,1,2,0,0
04-09-2010,1.0,1.0,1.0,1,2,0,0
04-12-2010,0.0,0.0,3.0,2,2,0,0
04-13-2010,1.0,0.0,2.0,1,2,0,0
04-14-2010,2.0,0.0,1.0,1,2,0,0
04-15-2010,1.0,0.0,2.0,1,2,0,0
04-16-2010,1.0,0.0,2.0,2,2,0,0
04-19-2010,0.0,0.0,3.0,2,3,0,0
04-20-2010,1.0,0.0,2.0,1,2,0,0
04-21-2010,0.0,0.0,3.0,2,3,0,0
04-22-2010,1.0,0.0,2.0,1,2,0,0
04-23-2010,1.0,0.0,2.0,1,2,0,0
04-26-2010,0.0,0.0,3.0,2,3,0,0
04-27-2010,1.0,0.0,2.0,2,2,0,0
04-28-2010,0.0,1.0,2.0,1,2,0,0
04-29-2010,1.0,0.0,2.0,1,2,0,0
04-30-2010,1.0,0.0,2.0,2,2,0,0
05-03-2010,1.0,1.0,1.0,1,2,0,0
05-04-2010,0.0,0.0,3.0,1,2,0,0
05-05-2010,1.0,0.0,2.0,1,2,0,0
05-06-2010,1.0,0.0,2.0,1,2,0,0
05-07-2010,0.0,0.0,3.0,2,3,0,0
05-10-2010,0.0,0.0,3.0,2,3,0,0
