str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-03-2011,8.0,0.0,1.0,1,1,3,3
01-04-2010,4.0,0.0,5.0,1,2,3,3
01-04-2011,6.0,0.0,3.0,1,2,5,5
01-05-2010,2.0,1.0,5.0,1,2,2,2
01-05-2011,1.0,1.0,7.0,1,2,3,3
01-06-2010,6.0,0.0,2.0,1,1,4,4
01-06-2011,2.0,2.0,5.0,1,2,6,6
01-07-2010,4.0,0.0,4.0,1,2,5,5
01-07-2011,5.0,0.0,4.0,1,2,5,5
01-08-2010,3.0,2.0,4.0,1,2,4,4
01-10-2011,6.0,0.0,3.0,1,2,3,3
01-11-2010,1.0,1.0,7.0,1,1,4,4
01-11-2011,9.0,0.0,0.0,1,2,3,3
01-12-2010,3.0,0.0,6.0,1,2,3,3
01-12-2011,4.0,1.0,4.0,1,2,4,4
01-13-2010,3.0,1.0,5.0,1,2,4,4
01-13-2011,2.0,1.0,3.0,1,2,5,4
01-14-2010,2.0,0.0,7.0,1,1,5,5
01-14-2011,6.0,0.0,3.0,1,2,4,4
01-15-2010,3.0,0.0,6.0,1,2,3,3
01-17-2011,3.0,0.0,6.0,1,1,4,4
01-18-2010,5.0,1.0,3.0,1,1,3,3
01-18-2011,1.0,2.0,6.0,1,2,4,4
01-19-2010,5.0,1.0,3.0,1,2,5,5
01-19-2011,5.0,0.0,4.0,1,2,4,4
01-20-2010,4.0,1.0,4.0,1,2,5,5
01-20-2011,6.0,0.0,3.0,1,2,2,2
01-21-2010,4.0,1.0,4.0,1,2,4,4
01-21-2011,5.0,0.0,3.0,1,2,6,6
01-22-2010,5.0,0.0,4.0,1,1,4,4
01-24-2011,5.0,0.0,4.0,1,2,3,3
01-25-2010,5.0,0.0,4.0,1,2,5,5
01-25-2011,4.0,0.0,5.0,1,2,4,4
01-26-2010,3.0,2.0,4.0,1,2,5,5
01-26-2011,5.0,0.0,4.0,1,2,5,5
01-27-2010,1.0,1.0,7.0,1,2,4,4
01-27-2011,5.0,0.0,4.0,1,2,4,4
01-28-2010,3.0,0.0,6.0,1,2,5,5
01-28-2011,4.0,0.0,5.0,1,2,4,4
01-29-2010,6.0,0.0,3.0,1,2,5,5
01-31-2011,5.0,0.0,4.0,1,2,3,3
02-01-2010,6.0,0.0,3.0,1,2,3,3
02-01-2011,2.0,1.0,1.0,1,1,3,3
02-02-2010,5.0,0.0,4.0,1,2,4,4
02-02-2011,5.0,0.0,4.0,1,2,3,3
02-03-2010,7.0,0.0,2.0,1,2,5,5
02-03-2011,5.0,2.0,2.0,1,2,4,4
02-04-2010,8.0,0.0,1.0,1,2,4,4
02-04-2011,5.0,1.0,3.0,1,2,3,3
02-05-2010,5.0,1.0,2.0,1,2,3,3
02-07-2011,6.0,1.0,2.0,1,1,5,5
02-08-2010,6.0,0.0,3.0,1,1,4,4
02-08-2011,3.0,0.0,6.0,1,2,2,2
02-09-2010,4.0,1.0,4.0,1,2,6,6
02-09-2011,2.0,1.0,6.0,1,2,4,4
02-10-2010,2.0,0.0,7.0,1,2,4,4
02-10-2011,4.0,0.0,4.0,1,2,5,5
02-11-2010,5.0,0.0,4.0,1,2,4,4
02-11-2011,4.0,0.0,5.0,1,2,5,5
02-12-2010,3.0,0.0,6.0,1,2,5,5
02-14-2011,6.0,0.0,3.0,1,2,4,4
