str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-04-2010,1.0,0.0,0.0,1,1,0,0
01-05-2010,1.0,0.0,0.0,1,1,0,0
01-06-2010,1.0,0.0,0.0,1,1,0,0
01-07-2010,1.0,0.0,0.0,1,1,0,0
01-11-2010,1.0,0.0,0.0,1,1,0,0
01-12-2010,1.0,0.0,0.0,1,1,0,0
01-13-2010,1.0,0.0,0.0,1,1,0,0
01-14-2010,1.0,0.0,0.0,1,1,0,0
01-18-2010,1.0,0.0,0.0,1,1,0,0
01-20-2010,0.0,0.0,1.0,1,1,0,0
01-21-2010,0.0,0.0,1.0,1,1,0,0
01-22-2010,1.0,0.0,0.0,1,1,0,0
01-25-2010,1.0,0.0,0.0,1,1,0,0
01-26-2010,1.0,0.0,0.0,1,1,0,0
01-27-2010,0.0,0.0,1.0,1,1,0,0
01-28-2010,1.0,0.0,0.0,1,1,0,0
01-29-2010,0.0,0.0,1.0,1,1,0,0
02-01-2010,1.0,0.0,0.0,1,1,0,0
02-02-2010,1.0,0.0,0.0,1,1,0,0
02-03-2010,0.0,0.0,1.0,1,1,0,0
02-04-2010,1.0,0.0,0.0,1,1,0,0
02-05-2010,0.0,0.0,1.0,1,1,0,0
02-08-2010,1.0,0.0,0.0,1,1,0,0
02-09-2010,0.0,0.0,1.0,1,1,0,0
02-10-2010,1.0,0.0,0.0,1,1,0,0
02-11-2010,0.0,0.0,1.0,1,1,0,0
02-12-2010,1.0,0.0,0.0,1,1,0,0
02-15-2010,0.0,0.0,1.0,1,1,0,0
02-16-2010,0.0,0.0,1.0,1,1,0,0
02-17-2010,0.0,0.0,1.0,1,1,0,0
02-18-2010,0.0,0.0,1.0,1,1,0,0
02-19-2010,0.0,0.0,1.0,1,1,0,0
02-22-2010,0.0,0.0,1.0,1,1,0,0
02-23-2010,0.0,0.0,1.0,1,1,0,0
02-24-2010,0.0,1.0,0.0,1,1,0,0
02-25-2010,0.0,0.0,1.0,1,1,0,0
02-26-2010,0.0,0.0,1.0,1,1,0,0
03-01-2010,0.0,0.0,1.0,1,1,0,0
03-02-2010,0.0,0.0,1.0,1,1,0,0
03-03-2010,0.0,0.0,1.0,1,1,0,0
03-04-2010,1.0,0.0,0.0,1,1,0,0
03-05-2010,0.0,0.0,1.0,1,1,0,0
03-08-2010,0.0,0.0,1.0,1,1,0,0
03-09-2010,0.0,0.0,1.0,1,1,0,0
03-10-2010,0.0,0.0,1.0,1,1,0,0
03-11-2010,0.0,0.0,1.0,1,1,0,0
03-12-2010,1.0,0.0,0.0,1,1,0,0
03-16-2010,0.0,0.0,1.0,1,1,0,0
03-17-2010,0.0,0.0,1.0,1,1,0,0
03-18-2010,1.0,0.0,0.0,1,1,0,0
03-19-2010,0.0,0.0,1.0,1,1,0,0
01-08-2010,0.0,0.0,0.0,1,1,0,0
01-15-2010,0.0,0.0,0.0,1,1,0,0
01-19-2010,0.0,0.0,0.0,1,1,0,0
03-15-2010,0.0,0.0,0.0,1,1,0,0
