str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-04-2010,4.0,0.0,5.0,7,8,7,7
01-05-2010,2.0,1.0,8.0,6,7,7,7
01-06-2010,5.0,1.0,5.0,3,3,2,2
01-07-2010,4.0,0.0,7.0,5,6,6,6
01-08-2010,2.0,1.0,4.0,4,5,5,5
01-11-2010,7.0,1.0,3.0,3,4,3,3
01-12-2010,5.0,0.0,6.0,6,7,7,7
01-13-2010,5.0,1.0,5.0,5,6,7,7
01-14-2010,4.0,1.0,5.0,4,4,5,5
01-15-2010,1.0,0.0,10.0,2,3,2,2
01-18-2010,7.0,1.0,3.0,5,5,7,7
01-19-2010,3.0,1.0,7.0,2,3,2,2
01-20-2010,5.0,0.0,6.0,6,7,5,5
01-21-2010,6.0,0.0,4.0,6,7,7,7
01-22-2010,4.0,0.0,7.0,3,3,3,3
01-25-2010,1.0,0.0,3.0,7,8,6,6
01-26-2010,2.0,0.0,9.0,4,5,5,5
01-27-2010,3.0,2.0,6.0,7,7,8,8
01-28-2010,4.0,1.0,6.0,6,7,7,7
01-29-2010,5.0,1.0,5.0,5,6,4,4
02-01-2010,5.0,1.0,5.0,6,7,7,7
02-02-2010,8.0,0.0,2.0,2,3,2,2
02-03-2010,3.0,2.0,6.0,2,3,2,2
02-04-2010,3.0,1.0,7.0,6,7,7,7
02-05-2010,7.0,0.0,4.0,2,2,4,4
02-08-2010,6.0,0.0,5.0,5,6,4,4
02-09-2010,8.0,1.0,2.0,3,4,5,5
02-10-2010,5.0,2.0,4.0,6,7,8,8
02-11-2010,2.0,2.0,7.0,2,2,4,4
02-12-2010,5.0,0.0,6.0,3,4,3,3
02-15-2010,7.0,0.0,4.0,5,5,5,5
02-16-2010,3.0,0.0,7.0,4,5,5,5
02-17-2010,2.0,1.0,8.0,5,5,4,4
02-18-2010,2.0,0.0,9.0,4,5,5,5
02-19-2010,5.0,2.0,4.0,2,3,2,2
02-22-2010,5.0,0.0,6.0,2,3,3,3
02-23-2010,6.0,1.0,4.0,6,7,6,6
02-24-2010,5.0,0.0,6.0,6,7,7,7
02-25-2010,5.0,0.0,6.0,3,4,4,4
02-26-2010,6.0,0.0,5.0,5,6,5,5
03-01-2010,3.0,1.0,7.0,3,3,3,2
03-02-2010,1.0,0.0,1.0,4,5,5,5
03-03-2010,3.0,0.0,8.0,2,3,3,3
03-04-2010,5.0,1.0,5.0,4,4,5,5
03-05-2010,1.0,0.0,10.0,6,7,6,6
03-08-2010,3.0,0.0,8.0,6,6,5,5
03-09-2010,4.0,0.0,7.0,2,2,5,5
03-10-2010,7.0,2.0,2.0,4,5,6,6
03-11-2010,4.0,0.0,7.0,2,3,3,3
03-12-2010,9.0,0.0,2.0,3,3,5,5
03-15-2010,4.0,1.0,5.0,3,4,2,2
03-16-2010,4.0,0.0,6.0,6,7,8,8
03-17-2010,5.0,0.0,6.0,6,7,8,8
03-18-2010,2.0,0.0,9.0,4,5,4,4
03-19-2010,2.0,0.0,8.0,5,6,8,8
03-22-2010,5.0,1.0,5.0,3,3,6,6
03-23-2010,3.0,0.0,6.0,2,2,2,2
03-24-2010,2.0,0.0,8.0,7,7,7,6
03-25-2010,3.0,1.0,7.0,5,6,5,5
03-26-2010,3.0,2.0,6.0,6,7,8,8
03-29-2010,5.0,0.0,6.0,4,5,3,3
03-30-2010,4.0,0.0,7.0,2,3,1,1
03-31-2010,6.0,0.0,5.0,2,3,2,2
04-01-2010,5.0,0.0,6.0,2,3,3,3
04-05-2010,4.0,0.0,7.0,6,6,6,6
04-06-2010,5.0,0.0,6.0,4,5,4,4
04-07-2010,4.0,1.0,6.0,3,4,3,3
04-08-2010,7.0,0.0,4.0,3,4,2,2
04-09-2010,2.0,0.0,9.0,3,4,6,6
04-12-2010,6.0,1.0,4.0,5,6,5,5
04-13-2010,3.0,0.0,8.0,6,7,6,6
04-14-2010,2.0,2.0,7.0,6,7,8,8
04-15-2010,3.0,0.0,8.0,4,5,3,3
04-16-2010,4.0,1.0,6.0,4,5,5,5
04-19-2010,3.0,1.0,7.0,4,5,5,5
04-20-2010,3.0,0.0,8.0,4,5,5,5
04-21-2010,1.0,0.0,10.0,4,5,6,6
04-22-2010,4.0,2.0,4.0,2,3,1,1
04-23-2010,8.0,0.0,3.0,2,3,3,3
04-26-2010,5.0,1.0,5.0,7,8,5,5
04-27-2010,3.0,2.0,6.0,4,4,3,3
04-28-2010,3.0,0.0,8.0,5,6,7,7
04-29-2010,3.0,0.0,8.0,5,6,5,5
04-30-2010,3.0,0.0,8.0,6,7,5,5
05-03-2010,4.0,0.0,7.0,6,7,7,7
05-04-2010,2.0,1.0,8.0,4,5,4,4
05-05-2010,4.0,1.0,6.0,6,7,6,6
05-06-2010,3.0,0.0,8.0,3,4,4,4
05-07-2010,5.0,0.0,6.0,3,4,2,2
05-10-2010,4.0,0.0,7.0,3,4,1,1
05-11-2010,4.0,2.0,5.0,4,5,4,4
05-12-2010,0.0,1.0,10.0,2,3,4,4
05-13-2010,5.0,0.0,6.0,3,3,5,5
05-14-2010,5.0,0.0,6.0,3,3,3,3
05-17-2010,2.0,1.0,8.0,5,6,5,5
05-18-2010,1.0,0.0,9.0,3,4,4,4
05-19-2010,5.0,1.0,5.0,4,5,2,2
05-20-2010,7.0,0.0,4.0,2,3,3,3
05-21-2010,6.0,1.0,4.0,2,3,4,4
05-24-2010,2.0,0.0,9.0,6,7,7,7
05-25-2010,2.0,0.0,9.0,6,7,8,8
05-26-2010,4.0,2.0,5.0,2,3,4,4
05-27-2010,4.0,0.0,6.0,5,5,5,5
05-28-2010,4.0,0.0,6.0,3,4,4,4
06-01-2010,1.0,0.0,10.0,6,7,8,8
06-02-2010,8.0,0.0,3.0,7,8,7,7
06-03-2010,4.0,0.0,6.0,3,4,4,4
06-04-2010,3.0,1.0,7.0,7,8,8,8
06-07-2010,4.0,0.0,7.0,7,7,5,5
06-08-2010,3.0,2.0,5.0,4,5,5,5
06-09-2010,3.0,0.0,8.0,7,8,8,8
06-10-2010,3.0,0.0,8.0,3,3,2,2
06-11-2010,5.0,0.0,6.0,2,3,3,3
06-14-2010,11.0,0.0,0.0,3,3,1,1
06-15-2010,6.0,0.0,5.0,6,7,8,8
06-16-2010,3.0,0.0,8.0,4,5,6,6
06-17-2010,4.0,0.0,6.0,5,6,8,8
06-18-2010,5.0,0.0,6.0,5,6,6,6
06-21-2010,2.0,0.0,9.0,5,5,4,4
06-22-2010,4.0,0.0,7.0,5,5,5,5
06-23-2010,3.0,2.0,6.0,7,8,5,5
06-24-2010,1.0,1.0,9.0,4,5,8,8
06-25-2010,5.0,0.0,6.0,3,4,4,4
06-28-2010,4.0,0.0,7.0,5,5,3,3
06-29-2010,3.0,1.0,6.0,2,3,3,3
06-30-2010,4.0,0.0,7.0,6,7,8,8
07-01-2010,3.0,0.0,8.0,3,4,4,4
07-02-2010,6.0,0.0,5.0,6,6,6,6
07-06-2010,6.0,0.0,5.0,6,6,6,6
07-07-2010,4.0,0.0,7.0,5,6,4,4
07-08-2010,6.0,0.0,5.0,7,8,5,5
07-09-2010,2.0,1.0,8.0,6,7,8,8
07-12-2010,4.0,0.0,7.0,5,6,7,7
07-13-2010,5.0,1.0,5.0,6,7,6,6
07-14-2010,2.0,0.0,9.0,2,3,3,3
07-15-2010,5.0,1.0,5.0,4,5,5,5
07-16-2010,5.0,0.0,6.0,2,3,3,3
07-19-2010,8.0,0.0,3.0,4,5,7,7
07-20-2010,4.0,2.0,8.0,5,5,6,6
07-21-2010,2.0,0.0,8.0,6,7,8,8
07-22-2010,5.0,0.0,6.0,5,6,6,6
07-23-2010,6.0,0.0,5.0,3,4,3,3
07-26-2010,5.0,1.0,5.0,4,5,4,4
07-27-2010,3.0,0.0,8.0,2,3,2,2
07-28-2010,6.0,1.0,5.0,3,4,6,6
07-29-2010,1.0,0.0,6.0,4,5,4,4
07-30-2010,4.0,0.0,7.0,6,7,8,8
08-02-2010,2.0,1.0,8.0,3,4,3,3
08-03-2010,3.0,0.0,10.0,2,3,3,3
08-04-2010,1.0,0.0,12.0,5,5,5,5
08-05-2010,5.0,1.0,5.0,5,6,5,5
08-06-2010,3.0,0.0,9.0,3,4,5,5
08-09-2010,4.0,0.0,7.0,3,4,5,5
08-10-2010,3.0,1.0,7.0,2,3,3,3
08-11-2010,2.0,2.0,7.0,5,6,7,7
08-12-2010,2.0,0.0,9.0,7,8,6,6
08-13-2010,5.0,0.0,8.0,2,3,2,2
08-16-2010,7.0,0.0,4.0,7,8,10,10
08-17-2010,4.0,0.0,3.0,3,4,4,4
08-18-2010,5.0,0.0,6.0,4,4,3,3
08-19-2010,3.0,0.0,8.0,7,7,10,10
08-20-2010,4.0,0.0,7.0,4,5,3,3
08-23-2010,2.0,2.0,4.0,6,6,7,7
08-24-2010,4.0,0.0,7.0,4,5,10,10
08-25-2010,6.0,0.0,5.0,4,5,7,7
08-26-2010,5.0,1.0,5.0,3,4,3,3
08-27-2010,5.0,1.0,5.0,5,6,7,7
08-30-2010,9.0,1.0,2.0,2,3,2,2
08-31-2010,3.0,1.0,7.0,6,7,10,10
09-01-2010,7.0,0.0,4.0,5,6,12,12
09-02-2010,3.0,0.0,8.0,2,2,3,3
09-03-2010,3.0,0.0,5.0,6,7,11,11
09-07-2010,2.0,1.0,8.0,7,7,7,7
09-08-2010,6.0,0.0,4.0,3,4,3,3
09-09-2010,3.0,2.0,6.0,6,7,7,7
09-10-2010,4.0,1.0,6.0,5,6,6,6
