str_date,Negative,Neutral,Positive,Logoff,Logon,Connect,Disconnect
01-03-2010,5.0,0.0,9.0,1,2,1.0,1.0
01-04-2010,9.0,1.0,3.0,1,2,1.0,1.0
01-05-2010,9.0,0.0,5.0,2,3,5.0,5.0
01-06-2010,7.0,1.0,5.0,1,2,3.0,3.0
01-07-2010,6.0,0.0,7.0,1,2,3.0,3.0
01-08-2010,7.0,0.0,7.0,2,3,2.0,2.0
01-09-2010,7.0,0.0,7.0,1,2,2.0,2.0
01-10-2010,7.0,0.0,7.0,1,2,1.0,1.0
01-11-2010,12.0,0.0,1.0,2,2,2.0,2.0
01-12-2010,6.0,0.0,7.0,1,2,4.0,4.0
01-13-2010,6.0,1.0,6.0,3,3,2.0,2.0
01-14-2010,6.0,0.0,8.0,2,3,3.0,3.0
01-15-2010,5.0,1.0,8.0,1,2,3.0,3.0
01-16-2010,9.0,0.0,5.0,1,2,4.0,4.0
01-18-2010,8.0,1.0,5.0,2,2,2.0,2.0
01-19-2010,8.0,0.0,6.0,2,2,1.0,1.0
01-20-2010,9.0,1.0,4.0,1,2,1.0,1.0
01-21-2010,6.0,0.0,8.0,1,2,3.0,3.0
01-22-2010,4.0,1.0,8.0,1,2,2.0,2.0
01-23-2010,8.0,0.0,6.0,1,2,2.0,2.0
01-24-2010,7.0,1.0,6.0,2,3,3.0,2.0
01-25-2010,5.0,0.0,9.0,1,2,4.0,4.0
01-26-2010,8.0,2.0,4.0,1,2,2.0,2.0
01-27-2010,9.0,0.0,5.0,1,2,2.0,2.0
01-28-2010,10.0,0.0,4.0,1,2,1.0,1.0
01-29-2010,3.0,1.0,10.0,2,2,3.0,3.0
01-31-2010,6.0,0.0,8.0,1,2,1.0,1.0
02-01-2010,10.0,0.0,4.0,1,2,2.0,2.0
02-02-2010,8.0,1.0,5.0,1,2,1.0,1.0
02-03-2010,7.0,1.0,6.0,1,2,3.0,3.0
02-04-2010,7.0,0.0,6.0,2,2,4.0,4.0
02-05-2010,6.0,2.0,6.0,1,2,3.0,3.0
02-06-2010,6.0,1.0,7.0,2,3,1.0,1.0
02-08-2010,9.0,0.0,5.0,1,2,3.0,3.0
02-09-2010,10.0,2.0,2.0,2,3,1.0,1.0
02-10-2010,6.0,1.0,6.0,1,2,3.0,3.0
02-11-2010,9.0,0.0,5.0,3,4,3.0,3.0
02-12-2010,7.0,0.0,7.0,1,2,3.0,3.0
02-13-2010,10.0,0.0,4.0,1,2,3.0,3.0
02-14-2010,6.0,1.0,7.0,1,2,1.0,1.0
02-15-2010,6.0,0.0,7.0,2,2,2.0,2.0
02-16-2010,6.0,0.0,8.0,1,2,2.0,2.0
02-17-2010,3.0,1.0,10.0,1,2,1.0,1.0
02-18-2010,6.0,0.0,8.0,2,2,1.0,1.0
02-19-2010,11.0,0.0,3.0,2,3,2.0,2.0
02-22-2010,6.0,1.0,7.0,2,2,2.0,2.0
02-23-2010,5.0,1.0,8.0,2,2,1.0,1.0
02-24-2010,4.0,0.0,10.0,2,3,2.0,2.0
02-25-2010,3.0,0.0,10.0,1,2,1.0,1.0
02-26-2010,4.0,2.0,8.0,2,2,2.0,2.0
02-27-2010,8.0,0.0,6.0,1,2,2.0,2.0
03-01-2010,7.0,1.0,6.0,1,2,2.0,2.0
03-02-2010,7.0,0.0,7.0,1,2,2.0,2.0
03-03-2010,8.0,0.0,6.0,2,3,3.0,3.0
03-04-2010,7.0,1.0,6.0,2,3,1.0,1.0
03-05-2010,11.0,0.0,3.0,1,2,1.0,1.0
03-06-2010,9.0,0.0,5.0,2,3,3.0,3.0
03-07-2010,4.0,0.0,10.0,2,2,2.0,2.0
03-08-2010,10.0,1.0,3.0,1,2,2.0,2.0
03-09-2010,7.0,0.0,7.0,1,2,3.0,3.0
03-10-2010,5.0,0.0,9.0,2,3,3.0,3.0
03-11-2010,4.0,0.0,6.0,2,3,3.0,3.0
03-12-2010,6.0,1.0,7.0,1,2,3.0,3.0
03-13-2010,10.0,1.0,3.0,1,2,4.0,4.0
03-14-2010,7.0,0.0,7.0,2,3,3.0,3.0
03-15-2010,6.0,0.0,8.0,2,3,0.0,0.0
03-16-2010,3.0,1.0,10.0,1,2,3.0,3.0
03-17-2010,5.0,0.0,9.0,1,2,3.0,3.0
03-18-2010,2.0,0.0,12.0,1,2,1.0,1.0
03-19-2010,6.0,0.0,6.0,3,3,2.0,2.0
03-20-2010,7.0,0.0,7.0,1,2,2.0,2.0
03-21-2010,5.0,0.0,9.0,1,2,3.0,3.0
03-22-2010,4.0,1.0,9.0,1,2,2.0,2.0
03-23-2010,7.0,1.0,6.0,2,3,3.0,3.0
03-24-2010,7.0,0.0,6.0,1,1,3.0,3.0
03-25-2010,8.0,0.0,5.0,1,2,3.0,3.0
03-26-2010,5.0,2.0,7.0,1,2,1.0,1.0
03-27-2010,4.0,0.0,10.0,1,2,2.0,2.0
03-28-2010,3.0,0.0,11.0,1,2,1.0,1.0
03-29-2010,6.0,2.0,6.0,1,2,2.0,2.0
03-30-2010,4.0,2.0,8.0,2,2,0.0,0.0
03-31-2010,3.0,2.0,9.0,1,2,3.0,3.0
04-01-2010,9.0,0.0,5.0,1,2,0.0,0.0
04-03-2010,6.0,0.0,8.0,3,3,2.0,2.0
04-04-2010,10.0,0.0,4.0,1,2,1.0,1.0
04-05-2010,5.0,0.0,9.0,1,2,4.0,4.0
04-06-2010,10.0,0.0,4.0,1,2,1.0,1.0
04-07-2010,8.0,0.0,6.0,1,2,1.0,1.0
04-08-2010,7.0,0.0,7.0,3,3,3.0,3.0
04-09-2010,6.0,2.0,6.0,1,2,1.0,1.0
04-10-2010,8.0,0.0,6.0,1,2,1.0,1.0
04-11-2010,10.0,0.0,4.0,1,2,2.0,2.0
04-12-2010,8.0,0.0,6.0,1,1,0.0,0.0
04-13-2010,2.0,0.0,2.0,1,2,2.0,2.0
04-14-2010,8.0,0.0,6.0,1,2,3.0,3.0
04-15-2010,8.0,0.0,6.0,2,2,1.0,1.0
04-16-2010,7.0,1.0,6.0,1,2,2.0,2.0
04-18-2010,8.0,0.0,5.0,2,2,2.0,2.0
04-19-2010,9.0,1.0,4.0,2,3,2.0,2.0
04-20-2010,9.0,0.0,5.0,1,2,2.0,2.0
04-21-2010,6.0,0.0,8.0,1,2,3.0,3.0
04-22-2010,7.0,0.0,7.0,1,2,2.0,2.0
04-23-2010,3.0,0.0,9.0,1,1,4.0,4.0
04-25-2010,5.0,0.0,9.0,1,2,1.0,1.0
04-26-2010,7.0,1.0,5.0,1,2,3.0,3.0
04-27-2010,7.0,1.0,6.0,1,1,3.0,3.0
04-28-2010,7.0,1.0,6.0,2,3,1.0,1.0
04-29-2010,7.0,2.0,4.0,1,2,2.0,2.0
04-30-2010,5.0,0.0,9.0,2,2,2.0,2.0
05-03-2010,12.0,0.0,2.0,1,2,2.0,1.0
05-04-2010,4.0,0.0,9.0,2,3,1.0,1.0
05-05-2010,5.0,0.0,9.0,2,3,2.0,2.0
05-06-2010,3.0,1.0,10.0,1,2,2.0,2.0
